feature,importance
alcohol,0.17880467
sulphates,0.11012264
total sulfur dioxide,0.094055295
volatile acidity,0.09331317
residual sugar,0.0876137
fixed acidity,0.08160296
chlorides,0.07688255
free sulfur dioxide,0.07254444
pH,0.069816
density,0.067862146
citric acid,0.06738239
