feature,importance
alcohol,0.15493777
sulphates,0.10389066
volatile acidity,0.095465556
total sulfur dioxide,0.09427842
citric acid,0.086365715
density,0.08628177
pH,0.07834399
residual sugar,0.0761115
chlorides,0.075850554
fixed acidity,0.07547272
free sulfur dioxide,0.073001355
