feature,importance
alcohol,0.24936573
total sulfur dioxide,0.12669457
sulphates,0.11972498
volatile acidity,0.116596244
density,0.073096156
fixed acidity,0.06635949
citric acid,0.056704205
chlorides,0.056566015
free sulfur dioxide,0.046466723
residual sugar,0.044675656
pH,0.043750245
