feature,importance
alcohol,0.20089523
sulphates,0.10731612
volatile acidity,0.09690161
total sulfur dioxide,0.095552765
pH,0.07342483
density,0.07337008
residual sugar,0.07221646
chlorides,0.07156517
fixed acidity,0.070657715
citric acid,0.06972194
free sulfur dioxide,0.06837806
