feature,importance
alcohol,0.20519465
sulphates,0.11616407
total sulfur dioxide,0.09269958
volatile acidity,0.08562165
fixed acidity,0.078990586
pH,0.077730566
density,0.076434165
chlorides,0.07566654
citric acid,0.06678442
free sulfur dioxide,0.06306349
residual sugar,0.061650284
