feature,importance
alcohol,0.16618301
sulphates,0.1066336
volatile acidity,0.099294655
total sulfur dioxide,0.093773924
pH,0.08066152
residual sugar,0.07974024
chlorides,0.07868496
fixed acidity,0.07772954
density,0.07286591
free sulfur dioxide,0.07257378
citric acid,0.071858905
