feature,importance
alcohol,0.22748950380428748
sulphates,0.138383022176725
volatile acidity,0.10655914131840986
citric acid,0.09663960517259323
density,0.08425755961197803
total sulfur dioxide,0.07103306823045706
fixed acidity,0.06603186606692721
chlorides,0.06320091962211571
residual sugar,0.051203436174390986
pH,0.04944769313484613
free sulfur dioxide,0.04575418468726919
