feature,importance
alcohol,0.17127772
sulphates,0.110272154
volatile acidity,0.10490421
total sulfur dioxide,0.09664133
density,0.07857072
fixed acidity,0.07652107
chlorides,0.07563385
pH,0.07391528
residual sugar,0.071936876
free sulfur dioxide,0.070667356
citric acid,0.06965944
