feature,importance
alcohol,0.23484504
sulphates,0.12073299
volatile acidity,0.09887135
citric acid,0.076997206
total sulfur dioxide,0.07506901
fixed acidity,0.07277346
pH,0.0699123
density,0.0682927
chlorides,0.06828491
residual sugar,0.05722257
free sulfur dioxide,0.056998514
